"name_name","name_info_name","name_price_status"
"M-LAB x 小木丁 | 提香TITIAN乐队「浪漫主义者的巡演」北京站（延期时间待定）","北京 | 疆进酒·OMNI SPACE","109 元 售票中"
"M-LAB x 小木丁 | 提香TITIAN乐队「浪漫主义者的巡演」北京站（延期时间待定）","2022.12.30 周五 20:30","109 元 售票中"
"延期 【嘉宾助阵：梁龙➕万茜】2021黄龄“真·敢·玩”巡回演唱会-北京站","艺人：黄龄","380-2021 元 售票中"
"延期 【嘉宾助阵：梁龙➕万茜】2021黄龄“真·敢·玩”巡回演唱会-北京站","北京 | 北京展览馆剧场","380-2021 元 售票中"
"延期 【嘉宾助阵：梁龙➕万茜】2021黄龄“真·敢·玩”巡回演唱会-北京站","2021.11.13-2022.12.31","380-2021 元 售票中"
"Genetic Error X Lie To The Silence 联合专场","北京 | 北京 乐空间","价格待定 售票中"
"Genetic Error X Lie To The Silence 联合专场","时间待定","价格待定 售票中"
"「星巢现场·冬泳派对」沈以诚+帆布小镇+？？？（延期）","艺人：帆布小镇乐队","价格待定 售票中"
"「星巢现场·冬泳派对」沈以诚+帆布小镇+？？？（延期）","北京 | 糖果TANGO-雍和宫店三层","价格待定 售票中"
"「星巢现场·冬泳派对」沈以诚+帆布小镇+？？？（延期）","时间待定","价格待定 售票中"
"「滚哈混战派对」ICE+LeeyOn李昂（延期）","艺人：ICE、直火帮、LeeyOn李昂","价格待定 售票中"
"「滚哈混战派对」ICE+LeeyOn李昂（延期）","北京 | 糖果TANGO-雍和宫店三层","价格待定 售票中"
"「滚哈混战派对」ICE+LeeyOn李昂（延期）","时间待定","价格待定 售票中"
"Nightwish 夜愿乐队2020北京站演唱会","艺人：Nightwish","388-1488 元 售票中"
"Nightwish 夜愿乐队2020北京站演唱会","北京 | 北京展览馆剧场","388-1488 元 售票中"
"Nightwish 夜愿乐队2020北京站演唱会","2023.01.30 周一 19:30","388-1488 元 售票中"
