rest_name,address_rd,price_range,pri_category,sec_category,collection,comments,rating,likes,dislikes
甜 Sweet Corner,棉登徑,$50以下,多國菜,"自助餐,酒店餐廳",50,3,3.6,2,1
行政會所 - 金域假日酒店 Executive Club Lounge - Holiday Inn Golden Mile,彌敦道,$50以下,多國菜,"自助餐,酒店餐廳",105,9,4.1,5,0
HAND3AG (K11購物藝術館),河內道,$50以下,多國菜,漢堡包,12418,488,4.3,397,11
The Vigor (豪華閣),厚福街,$50以下,多國菜,"快餐店,少鹽少糖食店",754,17,4,13,0
Twinkie Cookies,河內道,$50以下,多國菜,西式糕點,88,9,3.7,7,1
Moono,梳士巴利道,$50以下,多國菜,甜品-糖水,733,11,3.4,4,2
Lemongrass Bakery (港威商場),廣東道,$50以下,多國菜,朱古力-糖果店,107,14,4.6,6,0
Food Playground,梳士巴利道,$50以下,多國菜,food-court,389,20,3.2,2,2
AEON Supermarket,彌敦道,$50以下,多國菜,,79,4,4,2,0
咖喱物語,廣東道,$50以下,日本菜,food-court,38,12,2.5,1,6
咯咯雞韓食店 (亞士厘道) Kok Kok Chickhen (Ashley Road),亞士厘道,$51-100,其他亞洲菜,韓式炸雞,5050,160,4,113,10
The JANG - Pocha & Korean Cuisine,河內道,$101-200,其他亞洲菜,"韓燒,無翅餐廳,酒,燒烤,烤肉,韓式炸雞",8350,90,3.7,48,14
夜首爾 Seoul Night Korean Restaurant,寶勒巷,$201-400,其他亞洲菜,烤肉,7126,84,4,58,4
橋本·串燒 Hashimoto,棉登徑,$201-400,日本菜,"居酒屋,串燒",5282,122,4.3,116,2
稻乙日本料理 Inaotsu Japanese Restaurant,寶勒巷,$201-400,日本菜,"鐵板燒,壽司-刺身,廚師發辦",8178,221,4.4,197,6
大阪 Takomaru,廣東道,$50以下,日本菜,food-court,199,10,3.2,3,2
LAB EAT Restaurant & Bar (金巴利道),金巴利道,$201-400,西式,"海鮮,浪漫情調,慶祝紀念日,飲o野傾計",99588,1205,4.2,985,45
蠔站 (諾士佛臺) OS Oyster Station (Knutsford Terrace),諾士佛臺,$201-400,西式,中菜館,31191,222,3.8,122,24
Deep Sea Oyster & Steak,山林道,$201-400,多國菜,中菜館,1149,103,4.6,100,0
Iberians,科學館道,$201-400,西式,中菜館,8093,255,4.3,231,3
八海山 Hakkaisan Japanese Restaurant,寶勒巷,$201-400,日本菜,酒吧,6470,178,4.1,138,10
The Coffee Academics (海港城),廣東道,$51-100,多國菜,酒吧,3305,42,3.7,13,1
快樂蜂 (國都大廈) Jollibee (Metropole Building),北京道,$51-100,多國菜,漢堡包,1188,63,3.8,41,2
Marks & Spencer - 食品部 Marks & Spencer - Food Department,彌敦道,$51-100,西式,朱古力-糖果店,156,8,3.5,4,0
齋啡 Vego Coffee,柯士甸道,$51-100,西式,"快餐店,少鹽少糖食店",19602,391,4,311,17
cookedDeli by city'super,廣東道,$51-100,多國菜,food-court,403,53,3.4,16,5
Fusion Deli,廣東道,$51-100,多國菜,,181,14,3.5,6,0
Mr. Kebab Pizza & Pasta (Halal),海防道,$51-100,多國菜,薄餅,150,6,3,3,2
當文歷餅店 by Dominique Ansel Dang Wen Li by Dominique Ansel,廣東道,$51-100,多國菜,西式糕點,13168,335,3.7,164,22
The Coffee Academics (K11 Musea),梳士巴利道,$51-100,多國菜,咖啡店,3245,65,3.7,27,5
樂也樓 Lok Yah Lau,廣東道,$50以下,港式/粵菜,food-court,109,28,3.1,13,4
JK Brother’s,彌敦道,$201-400,日本菜,fine-dining,17820,330,3.8,233,37
高麗軒韓國料理 Korean Inn Restaurant,金巴利道,$201-400,其他亞洲菜,烤肉,23657,545,4,443,19
石亭居酒屋 Seki Tei Japanese Restaurant,赫德道,$401-800,日本菜,壽司-刺身,6385,256,4.1,222,4
秋田浜燒食堂 Akita Hamayaki,天文臺道,$401-800,日本菜,壽司-刺身,12253,562,4.5,546,1
龍驤 Ryujo,科學館道,$401-800,日本菜,廚師發辦,5250,139,4.3,125,5
博多·爐端燒 Hakata Yokaroumonn,金巴利道,$401-800,日本菜,"居酒屋,串燒",2787,61,4.6,57,1
団欒爐端燒 Robatayaki Danran,金巴利道,$401-800,日本菜,"鐵板燒,壽司-刺身,廚師發辦",370,6,4.5,4,0
甘の季節 Amai No Dessert,堪富利士道,$50以下,港式/粵菜,"中式糖水,糖水舖,甜品-糖水",2089,28,3.7,14,3
M.R HOT POT,厚福街,$201-400,港式/粵菜,中菜館,1304,26,4.5,19,1
The Pearl,加連威老道,$201-400,多國菜,"自助餐,酒店餐廳",10778,123,4.3,104,2
激安之殿堂美食廣場 DON DON DONKI,彌敦道,$51-100,日本菜,food-court,211,40,4,19,0
大食代 (新港中心) Food Republic (Silvercord Tower),廣東道,$51-100,多國菜,food-court,1347,61,3,20,15
焗飯農莊 Gratin Garden,嘉蘭圍,$51-100,多國菜,,129,12,4.4,12,0
Kebab Bistro,麼地道,$51-100,多國菜,,256,58,4.5,57,0
牧羊少年與他的浮萍 Lemna of the alchemist,梳士巴利道,$51-100,西式,"咖啡店,all-day-breakfast",6131,55,4,32,0
New Daily,亞士厘道,$51-100,多國菜,,1537,26,4,20,2
Ink,梳士巴利道,$51-100,多國菜,酒吧,4702,31,3.7,16,2
DKLM Bar & Restaurant,金巴利道,$51-100,多國菜,酒吧,7902,229,4.1,197,4
李家 (山林道) Chicken HOF & SOJU (Hillwood Road),山林道,$101-200,其他亞洲菜,韓式炸雞,21143,517,4.3,463,7
Goobne Chicken (The Hart),棉登徑,$101-200,其他亞洲菜,韓式炸雞,56265,1014,4.1,784,24
hoo韓國包車 hoo 포차,厚福街,$101-200,其他亞洲菜,韓式炸雞,20582,469,4.1,372,16
田舍家 Inakaya,柯士甸道,$801以上,日本菜,"居酒屋,串燒",18054,224,3.9,135,29
爐端燒 by Oyster Express Oyster & Robatayaki,棉登徑,$101-200,多國菜,"居酒屋,串燒",19,11,2.7,3,3
韓珍 (帝國中心) Hancham Korean BBQ Restaurant (Empire Centre),麼地道,$201-400,其他亞洲菜,烤肉,28823,466,4.3,398,11
ChumChum味 ChumChumMi,麼地道,$201-400,其他亞洲菜,烤肉,13643,216,3.8,165,11
Mr. Korea BBQ,柯士甸道,$201-400,其他亞洲菜,烤肉,19841,209,4,152,7
雪下覓炙 SEOLHAMYEOK,廣東道,$401-800,其他亞洲菜,烤肉,16789,148,4,85,6
Open Oyster,麼地道,$401-800,多國菜,中菜館,10825,121,4,90,9
Bostonian Seafood & Grill,北京道,$401-800,多國菜,"自助餐,酒店餐廳",26116,302,3.9,203,19
蠔酒吧 Oyster & Wine Bar,彌敦道,$801以上,西式,fine-dining,10387,155,4.1,115,11
蠔灣 Oyster Cove,嘉蘭圍,$201-400,西式,中菜館,5389,185,4.3,169,3
燒魂 Guts Soul,漆咸道,$201-400,日本菜,烤肉,29049,831,3.7,515,124
本佐日本燒肉料理,棉登徑,$201-400,日本菜,烤肉,7917,279,4,222,16
鐵板先生 Mr. Teppanyaki,山林道,$201-400,日本菜,鐵板燒,4487,91,3.9,71,4
金淼 Aurum Vast,廣東道,$201-400,日本菜,鐵板燒,258,18,4.7,14,0
鐵板超 Teppan Chiu Teppanyaki,麼地道,$201-400,日本菜,鐵板燒,6574,42,4.2,24,1
杏甜品 (香檳大廈) Almond Dessert (Champagne Building),加拿分道,$50以下,港式/粵菜,"中式糖水,糖水舖,甜品-糖水",8707,469,4.4,396,11
燒肉牛蔵 Yakiniku Gyukura,彌敦道,$201-400,日本菜,fine-dining,31495,323,3.6,165,44
殿 大喜屋 TONO DAIKIYA,金巴利道,$201-400,日本菜,fine-dining,81023,1017,4.1,726,42
尚八日式燒肉店 Syohachi Yakiniku,亞士厘道,$201-400,日本菜,烤肉,4601,84,4,59,8
Outdark (厚福街),厚福街,$101-200,其他亞洲菜,韓式炸雞,56765,988,4.3,837,21
達人包車 Dalin Pocha,金巴利道,$101-200,其他亞洲菜,韓式炸雞,25772,313,3.7,194,8
Terrace in Seaside (海港城),廣東道,$101-200,西式,韓式炸雞,11444,330,4.3,285,2
Pepper Lunch Express,廣東道,$51-100,日本菜,food-court,635,72,3.5,45,5
秋田錦 Nishiki,天文臺道,$401-800,日本菜,壽司-刺身,801,4,4.1,2,0
螢火 Hotaru,廣東道,$401-800,日本菜,廚師發辦,9346,146,4.4,128,4
雪寮 Candid,加拿分道,$50以下,港式/粵菜,"中式糖水,糖水舖,甜品-糖水",500,41,4.5,39,0
日悅極尚日式放題 Nichi Etsu Japanese Restaurant,麼地道,$201-400,日本菜,壽司-刺身,11883,395,4,322,25
涮香菜園 Sichuan Spicy Delight,廣東道,$51-100,其他中菜,food-court,260,9,2.9,3,2
Green Thai,廣東道,$51-100,其他亞洲菜,food-court,158,5,2.5,0,2
五武士 Five Samurai,梳士巴利道,$401-800,日本菜,"居酒屋,串燒",5155,84,4.4,72,2
灜鐵板燒 Ei Teppanyaki Japanese Restaurant,海防道,$401-800,日本菜,廚師發辦,5010,124,4.6,106,2
TeppanIchi,漆咸道,$401-800,日本菜,鐵板燒,1752,14,4.7,13,0
三日月 Mikazuki,金馬倫道,$401-800,日本菜,"鐵板燒,壽司-刺身,廚師發辦",10058,334,4.5,313,10
心鉄板燒 Hato Teppanyaki,亞士厘道,$401-800,日本菜,鐵板燒,12319,434,4.4,399,8
"秋田鐵板燒刺身專門店 Akita Teppanyaki, Sashimi",天文臺道,$401-800,日本菜,壽司-刺身,19452,273,4,202,18
奇納百川 Kinabaji Korean Cafe and Restaurant,廣東道,$201-400,其他亞洲菜,韓式炸雞,13620,425,3.8,273,56
李家 Chicken HOF & SOJU,金巴利道,$101-200,其他亞洲菜,韓式炸雞,12053,246,3.4,129,24
Deep Sea Oyster & Steak,柯士甸道,$201-400,多國菜,中菜館,283,4,4,2,0
Amina Modern European,金馬倫道,$401-800,西式,fine-dining,7172,280,4.2,238,13
GOPIZZA HK (K11 Musea),梳士巴利道,$51-100,其他亞洲菜,food-court,1048,34,4.6,34,0
雲海日本料理 Unkai Japanese Cuisine,彌敦道,$801以上,日本菜,fine-dining,8835,146,4,86,13
紅雞 Red Chicken,金巴利道,$101-200,其他亞洲菜,韓式炸雞,16793,358,3.7,227,18
富久保手打烏冬 TOMIKUBO,廣東道,$51-100,日本菜,food-court,2243,270,3.2,123,42
褔村日本料理鐵板燒 Fukumura Japanese Restaurant,廣東道,$801以上,日本菜,"鐵板燒,壽司-刺身,廚師發辦",3535,90,4,65,9
鐵板燒海賀 Teppanyaki Kaika,彌敦道,$801以上,日本菜,fine-dining,21912,207,3.9,137,14
四季菊日本餐廳 Shikigiku Japanese Restaurant,麼地道,$801以上,日本菜,fine-dining,3435,27,4.1,15,1
武士御好味燒 Samurai Okonomiyaki,嘉蘭圍,$101-200,日本菜,"快餐店,少鹽少糖食店",392,18,3.6,15,0
韓珍 (寶勒巷) Hancham Korean BBQ Restaurant (Prat Avenue),寶勒巷,$201-400,其他亞洲菜,烤肉,31054,519,4.1,393,27
韓國屋 Korea House,廣東道,$51-100,其他亞洲菜,food-court,157,18,2.4,3,7
泰Grill (恆隆銀行大廈) Thai Grill (Hang Lung Bank Building),加連威老道,$51-100,其他亞洲菜,food-court,3233,226,4.1,192,8
鐵板超 Teppan Chiu Teppanyaki,山林道,$201-400,日本菜,鐵板燒,2073,22,3.9,13,2
"秋田鐵板燒刺身專門店 Akita Teppanyaki, Sashimi",諾士佛臺,$401-800,日本菜,壽司-刺身,2567,54,4,42,1
大阪日本料理 Restaurant Osaka,亞士厘道,$401-800,日本菜,壽司-刺身,3419,130,3.7,92,14
三郎。燒肉 Saburo Japanese Yakiniku,中間道,$401-800,日本菜,烤肉,6003,100,4.3,84,7
喫麵 (K11 MUSEA) YumMee (K11 MUSEA),梳士巴利道,$51-100,多國菜,粉麵-米線,10548,197,3.9,128,16
The Big Things Noodles,梳士巴利道,$51-100,多國菜,粉麵-米線,3007,72,4.1,63,2
The Lounge,麼地道,$51-100,多國菜,"咖啡店,雪糕-乳酪,果汁,茶館",4385,88,4.3,70,1
鍋點 The Pot Spot,梳士巴利道,$51-100,多國菜,中菜館,677,64,4.4,61,0
雪吧音樂餐廳 LA-neige,山林道,$51-100,西式,酒吧,186,15,4.3,15,0
Tiffany’s 紐約吧 Tiffany's New York Bar,麼地道,$51-100,多國菜,酒吧,2318,21,4.1,12,0
GoodDay BadDay,加連威老道,$101-200,多國菜,"咖啡店,all-day-breakfast",14211,385,4.5,363,1
sensory ZERO (海港城),廣東道,$101-200,多國菜,"咖啡店,all-day-breakfast",15082,210,4,131,8
Library Restaurant and Bar,彌敦道,$101-200,西式,酒吧,17202,181,4.1,144,4
每日 Everyday,山林道,$101-200,多國菜,火鍋,20328,190,3.8,100,9
Royal INN,彌敦道,$101-200,多國菜,酒吧,4374,48,4.3,40,3
雪吧餐廳 LA-neige,河內道,$101-200,西式,酒吧,297,51,4.2,46,0
港青咖啡座 Mall Cafe,梳士巴利道,$101-200,西式,"自助餐,酒店餐廳",1773,49,3.5,18,6
Timber,天文臺道,$101-200,多國菜,酒吧,447,57,4.3,55,1
太平洋酒吧 Bar Pacific,棉登徑,$101-200,多國菜,酒吧,20,4,5,4,0
Green Common (海港城),廣東道,$101-200,多國菜,"快餐店,少鹽少糖食店",11361,216,3.8,120,2
Poke Go (漆咸道南),漆咸道,$101-200,多國菜,"快餐店,少鹽少糖食店",2315,31,4.4,25,1
The Old Monk Bar & Grill,棉登徑,$101-200,多國菜,"居酒屋,串燒",1718,15,3.8,8,1
Lulu,河內道,$101-200,多國菜,酒吧,862,29,3.8,17,0
鮨處松戶 (彩星集團大廈) Sushi Dokoro Matsudo (The Toy House),彌敦道,$201-400,日本菜,"串燒,適合大夥人,慶祝紀念日",12128,325,4.1,263,15
Kailash Parbat,寶勒巷,$101-200,其他亞洲菜,素食,10257,365,4.4,341,2
Café Crêpe (K11),河內道,$101-200,多國菜,西式糕點,8865,397,4.3,355,7
Mamaday OMG Mamaday,加連威老道,$101-200,多國菜,"甜品-糖水,咖啡店,樓上cafe",50355,984,4.3,851,16
雅 ‧悠蔬食 Leisurely Veggie,金馬倫道,$101-200,多國菜,"快餐店,少鹽少糖食店",33241,755,4.2,623,16
Espuma (H8),厚福街,$101-200,西式,"甜品-糖水,咖啡店,樓上cafe",71575,1325,3.7,851,97
Dazzling Cafe (The ONE),彌敦道,$101-200,多國菜,甜品-糖水,39253,1136,3.8,717,65
Med Chef,厚福街,$101-200,多國菜,酒吧,11594,450,4.4,410,5
草民 Grassman,厚福街,$101-200,多國菜,"甜品-糖水,咖啡店,樓上cafe",23509,374,3.9,260,15
J.S. FOODIES (海港城),廣東道,$101-200,多國菜,"甜品-糖水,日式西餐廳,沙律",12789,202,4,140,2
Jagger,麼地道,$101-200,多國菜,咖啡店,6068,70,4,48,3
Cafe Terrace,亞士厘道,$101-200,多國菜,,2512,47,4.4,43,1
J's Bar Bistro,麼地道,$101-200,多國菜,"自助餐,酒店餐廳",4841,83,4.2,57,0
Eyebar,彌敦道,$101-200,多國菜,酒吧,11445,47,3.5,23,2
SP Senses (尖沙咀中心),麼地道,$101-200,多國菜,"咖啡店,all-day-breakfast",2485,18,4,8,0
The Dog House,麼地道,$101-200,多國菜,"快餐店,少鹽少糖食店",3419,43,3.6,30,4
Residence Lounge & Bar,麼地道,$101-200,多國菜,"自助餐,酒店餐廳",574,8,4.1,4,0
TFG,北京道,$101-200,多國菜,"三文治,果汁,沙律",426,9,4.4,5,0
Save,金巴利道,$101-200,多國菜,酒吧,348,4,4.6,4,0
Italio Wok,梳士巴利道,$101-200,多國菜,,264,36,3.1,10,10
Kamar,棉登徑,$101-200,西式,包場派對,40,3,2.8,1,1
MUTA Restaurant by ATUM,彌敦道,$101-200,西式,"自助餐,酒店餐廳",18896,369,4.3,324,6
馬哥孛羅香港酒店宴會廳,廣東道,$101-200,多國菜,"自助餐,酒店餐廳",146,6,3,3,1
芝樂坊餐廳 The Cheesecake Factory,廣東道,$101-200,多國菜,"咖啡店,all-day-breakfast",66914,1311,3.9,790,71
The Wall Street Bar & Lounge,金巴利道,$101-200,多國菜,"快餐店,少鹽少糖食店",6591,268,4.5,252,3
The Right Place (寶勒巷),寶勒巷,$101-200,多國菜,"咖啡店,all-day-breakfast",21443,640,4.2,580,5
Avenue75,麼地道,$101-200,多國菜,"自助餐,酒店餐廳",2111,113,4.4,103,1
Tipsy Tap,柯士甸道,$101-200,多國菜,酒吧,6318,146,4.2,128,1
昼夜 Day n Nite cafe and bar,天文臺道,$101-200,西式,"咖啡店,all-day-breakfast",3142,35,4.2,20,0
ADD+,西九文化區,$101-200,西式,,2497,50,3.6,20,5
噴泉咖啡屋 Cafe de Fontaine,麼地道,$101-200,多國菜,酒吧,759,46,3.1,19,11
Artesian,北京道,$101-200,西式,"自助餐,酒店餐廳",548,9,4.5,5,0
Where Buddha Bar,河內道,$101-200,多國菜,酒吧,2437,18,3.7,10,2
Potluck Eatery,柯士甸道,$201-400,西式,薄餅,32799,481,4.4,430,5
Time Park Lounge,棉登徑,$201-400,西式,咖啡店,11370,543,4.4,502,8
MOONKOK (K11 Art Mall),河內道,$201-400,西式,酒吧,2893,43,4.1,34,2
Paul's Kitchen,彌敦道,$201-400,中東/地中海菜,,4282,35,4.4,30,0
Swig,河內道,$201-400,多國菜,酒吧,47,3,5,3,0
園林閣咖啡室 Cafe by the Park,柯士甸道,$201-400,多國菜,"自助餐,酒店餐廳",8153,229,3.5,114,35
So Bar,加連威老道,$201-400,西式,酒吧,682,85,4.3,82,0
小路吧 Avenue Pub,山林道,$201-400,多國菜,酒吧,563,4,4.1,3,0
Bayfare Social,梳士巴利道,$201-400,西式,酒吧,26231,238,4.2,172,7
Poseidon Restaurant & Bar,亞士厘道,$201-400,多國菜,酒吧,20335,288,4.2,238,12
Attic Handmade Pasta,金馬倫道,$201-400,多國菜,fine-dining,16734,157,4.1,127,10
竹青亭 Wish-ao by Aobana,金馬倫道,$201-400,多國菜,,15534,140,4.1,106,7
尚鮑 REIGN The Abalone House,梳士巴利道,$201-400,多國菜,中菜館,2095,36,3.8,23,6
Bar Buonasera,麼地道,$201-400,多國菜,酒吧,2136,8,4.6,5,0
皇悅小廚 Empire Kitchen,金巴利道,$201-400,多國菜,酒吧,621,68,2.4,14,33
Holt's Cafe,梳士巴利道,$201-400,多國菜,"自助餐,酒店餐廳",8742,142,4.2,91,3
Cafe Deco Pizzeria,柯士甸道,$201-400,多國菜,薄餅,8055,108,4,76,3
I Leisure,北京道,$201-400,多國菜,"海鮮,主題餐廳,燒烤,西式糕點",2533,205,4.4,192,3
SAVVY,廣東道,$201-400,多國菜,,9718,79,3.8,42,10
樂天冰室 (長利商業大廈) Lok Tin Cafe (Cheung Lee Commercial Building),金巴利道,$51-100,港式/粵菜,"自助餐,酒店餐廳",206,8,4.2,3,0
輕鬆一下 Relax Restaurant,金巴利道,$51-100,港式/粵菜,"自助餐,酒店餐廳",482,114,2.7,16,40
金妹記大排檔 Gold Mui Kee Sea Food Stall,金巴利道,$51-100,港式/粵菜,中菜館,6761,69,3.4,26,6
源記燒味粉麵茶餐廳,金巴利道,$50以下,港式/粵菜,"自助餐,酒店餐廳",42,14,2.3,2,5
妹記大排檔 Mui Kee Cookfood Stall,金巴利道,$51-100,港式/粵菜,扒房,3032,237,3.1,97,51
炊公館 Champ Kitchen,彌敦道,$201-400,多國菜,中菜館,9411,135,3.8,70,16
COCO COCO Cafe Patisserie,彌敦道,$201-400,西式,甜品-糖水,4572,198,3.7,134,11
My Day,彌敦道,$201-400,西式,火鍋,4741,173,3.9,136,8
Bakebe,彌敦道,$201-400,多國菜,網店-食品分銷,345,16,4.1,11,0
THE CELL,廣東道,$201-400,多國菜,酒吧,1920,6,4.3,5,0
"香港麗思卡爾頓酒店宴會廳 Ballroom, The Ritz-Carlton HK",柯士甸道,$201-400,多國菜,"自助餐,酒店餐廳",2440,20,3.9,12,1
Portal,棉登徑,$201-400,多國菜,酒吧,452,9,4.4,6,0
雍福薈精品私房 Bless Bar & Private Kitchen,山林道,$201-400,多國菜,私房菜,659,6,4.5,4,0
九龍香格里拉大酒店宴會廳 Kowloon Shangri-La Hotel Ballroom,麼地道,$201-400,多國菜,"自助餐,酒店餐廳",346,7,3.3,1,1
Mulino,麼地道,$201-400,多國菜,酒吧,257,5,4.4,4,1
Reign Caviar,梳士巴利道,$201-400,多國菜,"動物友善餐廳,酒,酒吧",798,20,4.3,15,1
Bon Appetit,柯士甸道,$201-400,多國菜,私房菜,1713,136,3.8,96,19
堤岸酒吧及餐廳 Pierside Bar & Restaurant,廣東道,$201-400,多國菜,"自助餐,酒店餐廳",12957,207,3.9,134,17
富豪雪糕流動車 Mister Softee,天星碼頭,$50以下,港式/粵菜,甜品-糖水,1001,149,3.7,103,5
四喜麵包西餅 Say Hey Bakery,柯士甸道,$50以下,港式/粵菜,麵包店,2035,22,4.1,15,0
美心西餅 Maxim's Cake Shop,港鐵尖東站,$50以下,港式/粵菜,麵包店,898,185,3.5,84,8
唐包點 Tong Bao Dim,港鐵九龍站,$50以下,港式/粵菜,"點心,酒樓,山珍海味",137,22,3.9,13,1
