rest_name,address_rd,price_range,pri_category,sec_category,collection,comments,rating,likes,dislikes
利強記北角雞蛋仔,彌敦道,$50以下,港式/粵菜,小食店,4202,225,3.1,83,38
林昌記 藍哥 (新東海商業中心) Lam Cheong Kee (New East Ocean Centre),科學館道,$50以下,港式/粵菜,小食店,840,11,4.4,6,0
阿波羅 Appolo,天星碼頭,$50以下,港式/粵菜,甜品-糖水,424,36,3.4,19,3
A3食館 A3 Food Shop,麼地道,$50以下,港式/粵菜,小食店,369,16,3.6,9,2
OK便利店 Hot & In 美食吧 Circle K Hot & In Steam Station,科學館道,$50以下,港式/粵菜,小食店,20,4,4,1,0
奇華餅家 Kee Wah Bakery,港鐵尖東站,$50以下,港式/粵菜,麵包店,356,19,3.6,12,0
漁道樂 Ryou Dou Raku,金巴利道,$401-800,日本菜,壽司-刺身,18571,549,4.3,453,31
奇華餅家 Kee Wah Bakery,廣東道,$50以下,港式/粵菜,麵包店,104,6,3.5,5,0
美心西餅 Maxim's Cake Shop,港鐵九龍站,$50以下,港式/粵菜,麵包店,152,10,4,5,1
美心西餅 Maxim's Cake Shop,港鐵尖東站,$50以下,港式/粵菜,麵包店,125,14,3.6,5,1
奇華餅家 Kee Wah Bakery,麼地道,$50以下,港式/粵菜,麵包店,143,6,3.5,5,0
榮華餅家 Wing Wah,漆咸道,$50以下,港式/粵菜,麵包店,195,3,3.4,2,0
合香園 Hap Hueng Garden,海防道,$50以下,港式/粵菜,,2400,85,3.4,44,5
華香園 Wah Heung Yuen,海防道,$50以下,港式/粵菜,粉麵-米線,3562,138,3.3,60,6
恆之茶居 Hang's Cafe,廣東道,$50以下,港式/粵菜,"點心,酒樓,山珍海味",1682,36,4.2,31,0
敍亨軒海鮮火鍋 Chui Hang Hin Seafood Hot Pot,河內道,$401-800,港式/粵菜,"火鍋,海鮮,串燒,雞煲",3657,36,4.1,29,1
避風塘興記 Hing Kee Restaurant,彌敦道,$401-800,港式/粵菜,粉麵-米線,7912,125,3.2,54,30
伍佰海鮮火鍋 Givemefive,山林道,$201-400,港式/粵菜,中菜館,1286,54,4.3,43,2
煲底海鮮火鍋料理 Meet At Pot,金馬倫道,$201-400,港式/粵菜,火鍋,8925,176,4.4,147,4
大叢小廚海鮮火鍋 Success Easy Limited,山林道,$201-400,港式/粵菜,私房菜,1810,29,4.2,21,0
LIFE Restaurant & Bar,柯士甸道,$201-400,其他亞洲菜,"居酒屋,串燒",707,9,4.6,4,0
香香宮煮 Tasty Hotpot Palace,加拿分道,$201-400,港式/粵菜,火鍋,21593,457,4.4,414,6
胡爐 Wulu,厚福街,$201-400,港式/粵菜,中菜館,16542,564,4.4,519,5
人和月雞煲火鍋店,海防道,$201-400,其他中菜,火鍋,8939,288,4.4,254,6
味火鍋 Yum Hotpot,亞士厘道,$201-400,港式/粵菜,火鍋,8285,56,4.2,39,2
CHEF STAGE de Eddy Chu,亞士厘道,$201-400,西式,中菜館,62778,1204,4.2,1064,39
MONMONO,山林道,$201-400,多國菜,,14223,132,4,93,13
再臨閣 The Haven,梳士巴利道,$201-400,多國菜,"自助餐,酒店餐廳",4636,46,4,27,1
ABC Cooking Studio,河內道,$201-400,多國菜,,419,14,4.3,11,0
Harlan's,彌敦道,$401-800,多國菜,"中式糖水,粥品,點心,中式包點",55048,389,3.8,220,33
海景咖啡廊 Café on M,麼地道,$401-800,西式,"自助餐,酒店餐廳",31884,333,3.6,147,39
The Commune,梳士巴利道,$401-800,多國菜,"自助餐,酒店餐廳",10768,70,4,41,5
KITCHEN,柯士甸道,$401-800,多國菜,"自助餐,酒店餐廳",15019,429,3.6,200,89
雅苑座 The Greenery,麼地道,$401-800,多國菜,"自助餐,酒店餐廳",62067,937,3.8,589,90
咖啡廳 The Cafe,彌敦道,$401-800,西式,"自助餐,酒店餐廳",12588,284,3.7,160,29
Café Kool,麼地道,$401-800,多國菜,"自助餐,酒店餐廳",48842,566,3.6,264,82
"Cafe, Hyatt Regency Tsim Sha Tsui",河內道,$401-800,多國菜,"自助餐,酒店餐廳",55166,537,3.8,295,61
Three on Canton,廣東道,$401-800,多國菜,"自助餐,酒店餐廳",64242,523,3.7,247,42
PANO,博物館道,$401-800,西式,fine-dining,18874,103,4.3,67,6
鏞鏞．藝嚐館 YUNG'S BISTRO,梳士巴利道,$201-400,港式/粵菜,中菜館,7904,119,4,65,11
德興酒家 Tack Hsin Restaurant,麼地道,$201-400,港式/粵菜,"火鍋,海鮮,串燒,雞煲",6967,262,3.7,160,24
旅鍋火鍋私房菜專門店 T-Pot,漆咸道,$201-400,港式/粵菜,"火鍋,私房菜,海鮮,咪嘥嘢食店,盆菜,主題餐廳",1222,23,4.5,13,0
BARBE Bar & Grill,金馬倫道,$201-400,港式/粵菜,"串燒,卡拉ok,適合大夥人",673,14,4.2,12,0
大紅袍火鍋料理 Da Hong Pao hotpot,金巴利道,$201-400,日本菜,火鍋,13156,75,3.8,45,4
醉胡爐 Wulu Restaurant,柯士甸道,$201-400,日本菜,壽司-刺身,28805,906,4.4,827,13
616麥子,棉登徑,$201-400,港式/粵菜,火鍋,26029,273,4.1,215,5
斗滾 (銀座38) Pot Of Soup (38 Nathan Hill),山林道,$201-400,港式/粵菜,火鍋,13693,48,4,34,5
城寨煲皇 Shing Chai Hotpot,亞士厘道,$201-400,港式/粵菜,火鍋,4462,67,4.4,59,4
甜蜜蜜甜品專門店 Happy Together,厚福街,$50以下,港式/粵菜,甜品-糖水,4581,474,3.2,213,59
蘭香麵家 Lan Heung Noodle,柯士甸道,$50以下,港式/粵菜,中菜館,5888,153,3.6,102,5
第三代肥仔小食店,厚福街,$50以下,港式/粵菜,小食店,4949,77,3.8,52,2
唐記包點 Tong Kee Bao Dim,科學館道,$50以下,港式/粵菜,"點心,酒樓,山珍海味",227,25,4.1,20,0
良友快餐 Leung Yau Fast Food,厚福街,$50以下,港式/粵菜,"快餐店,少鹽少糖食店",301,12,3.5,7,0
文記 Man Kee,海防道,$50以下,港式/粵菜,,430,31,3.2,11,2
錫記雲吞麵食 Shek Kee Wanton Noodles,宜昌街,$50以下,港式/粵菜,粉麵-米線,1071,54,3.4,24,7
聯威茶餐廳 Lun Wai Restaurant,柯士甸道,$50以下,港式/粵菜,"自助餐,酒店餐廳",898,37,3.5,19,3
源記餐廳 Yuen Kee Restaurant,科學館道,$50以下,港式/粵菜,"自助餐,酒店餐廳",441,58,2.9,13,11
豐記雞蛋仔美食,加連威老道,$50以下,港式/粵菜,小食店,536,54,3,18,10
樂心快餐店 Lok Sum Fast Food Shop,柯士甸道,$50以下,港式/粵菜,"快餐店,少鹽少糖食店",194,10,3.4,4,1
Yamm,彌敦道,$401-800,多國菜,"自助餐,酒店餐廳",29129,731,3.7,374,126
Bistro on the Mile,彌敦道,$401-800,多國菜,"自助餐,酒店餐廳",25656,377,3.5,192,39
唯港薈Silverbox 宴會廳 Hotel ICON Silverbox Ballroom,科學館道,$401-800,多國菜,"自助餐,酒店餐廳",2735,40,4,17,3
The Market,科學館道,$401-800,多國菜,"壽司-刺身,酒店餐廳,自助餐",80993,826,3.9,528,60
G Place,山林道,$401-800,多國菜,fine-dining,2444,59,4.6,55,0
OZONE,柯士甸道,$401-800,西式,酒吧,15901,124,4,77,4
G Room Bar & Lounge,梳士巴利道,$401-800,多國菜,酒吧,9253,81,3.9,48,11
令 Decree by T,棉登徑,$801以上,多國菜,廚師發辦,3069,15,4.2,10,0
千禧新世界香港酒店大宴會廳 New World Millennium Hong Kong Hotel Grand Ballroom,麼地道,$801以上,多國菜,"自助餐,酒店餐廳",2173,26,4,14,0
主席廳 Chairman’s Place,麼地道,$801以上,多國菜,"自助餐,酒店餐廳",68,4,4.5,3,0
The Coffee Academics (海港城),廣東道,$51-100,多國菜,酒吧,2308,34,3.4,14,3
華興川佬麻辣大王,厚福街,$50以下,港式/粵菜,"台式飲品,小食店,粉麵-米線,串燒",258,16,2.8,5,4
健康工房 HealthWorks,港鐵尖東站,$50以下,港式/粵菜,涼茶-龜苓膏,170,11,3.7,5,0
菠蘿仔食堂美食車 Pineapple Canteen Food Truck,西九文化區,$50以下,港式/粵菜,美食車,176,13,3.7,7,2
美心西餅 Maxim's Cake Shop,彌敦道,$50以下,港式/粵菜,麵包店,150,3,3.4,2,0
巷仔小食,嘉蘭圍,$50以下,港式/粵菜,小食店,88,3,3.7,3,0
潮發粥麵餐廳 Chiu Fat Porridge Noodle Restaurant,樂道,$50以下,港式/粵菜,粉麵-米線,836,59,3.4,36,10
美利茶餐廳,漆咸道,$50以下,港式/粵菜,,256,9,4.2,4,0
打冷鎮小菜打冷茶餐廳,麼地道,$50以下,港式/粵菜,"自助餐,酒店餐廳",463,27,3.4,14,2
金湖粉麵茶餐廳 Gold Lake Noodle Restaurant,海防道,$50以下,港式/粵菜,"自助餐,酒店餐廳",213,40,3,14,12
星座冰室 Star Cafe,金巴利道,$50以下,港式/粵菜,"自助餐,酒店餐廳",18764,637,3.2,320,68
龍鳳呈祥火鍋雞煲 Lung Fung Chickenspot,加拿分道,$201-400,港式/粵菜,火鍋,1695,56,4.4,53,0
淥烚年代 The 60's,海防道,$201-400,港式/粵菜,"火鍋,海鮮,串燒,雞煲",181,35,4.7,35,0
新東記火鍋店 Son Tung Kee Restaurant,加拿分道,$201-400,港式/粵菜,中菜館,2333,72,4.1,66,2
靛火鍋,厚福街,$201-400,港式/粵菜,火鍋,1110,6,3.6,2,0
龍堡廊 Flamingo Lounge,柯士甸道,$201-400,西式,"自助餐,酒店餐廳",554,22,3.8,9,2
喜膳燒 Happy Q,寶勒巷,$101-200,港式/粵菜,"居酒屋,串燒",14464,610,4.2,553,6
肚餓了串燒烤焗專門店 Hungry Bird,亞士厘道,$101-200,港式/粵菜,酒吧,35772,923,3.8,756,70
二鍋頭 (嘉芙中心),漆咸道,$101-200,港式/粵菜,火鍋,5762,408,4.4,385,5
壹食就醉 Jolly Restaurant,金巴利道,$101-200,港式/粵菜,扒房,2530,187,4.1,169,4
緻素坊 Veggie Kingdom,廣東道,$101-200,港式/粵菜,"快餐店,少鹽少糖食店",4101,30,4.1,24,1
醉金渦 Golden Pot,棉登徑,$101-200,港式/粵菜,中菜館,646,51,4.5,46,0
Pacific Room,廣東道,$101-200,港式/粵菜,"自助餐,酒店餐廳",117,5,4,5,0
尚上下夏 - 養生雞煲火鍋 JKJ POT,山林道,$101-200,其他中菜,中菜館,23235,530,4.2,468,16
簡單主意 food simple,彌敦道,$51-100,多國菜,壽司-刺身,169,9,3.2,3,0
椰林閣餐廳 Yeh Lam Kok Restaurant,厚福街,$51-100,多國菜,"自助餐,酒店餐廳",39,35,2.8,7,13
沙嗲王 Satay King,海防道,$51-100,多國菜,,136,56,3.2,24,8
Cafe Deco Pizzeria,柯士甸道,$101-200,多國菜,"無肉餐單,適合大夥人,薄餅",7536,120,3.8,77,5
詩房菜 Sa Sa Loves Kitchen,彌敦道,$401-800,多國菜,私房菜,459,33,4.5,26,0
HAKU Curated By Hideaki Matsuo,廣東道,$801以上,日本菜,fine-dining,13037,108,4.2,72,4
樹果緣 Crossed Path,柯士甸道,$51-100,多國菜,"三文治,果汁,沙律",138,4,4.9,3,0
藝術茶座 Museum Cafe,梳士巴利道,$51-100,多國菜,"自助餐,酒店餐廳",243,27,3.7,18,2
Mody's Grill & Bar,麼地道,$101-200,多國菜,酒吧,283,6,4,4,0
祥仔 (K11購物藝術館) Ricky’s Kitchen (K11 Art Mall),河內道,$101-200,西式,"自助餐,酒店餐廳",7302,324,3.8,200,29
鴻啤啤串燒,金巴利道,$101-200,港式/粵菜,"居酒屋,串燒",1468,104,4.5,101,1
潮牛莊火鍋 In Beef Hotpot,金馬倫道,$101-200,港式/粵菜,火鍋,5288,86,4.4,62,1
齊齊滾 Pot Pot,金馬倫道,$101-200,港式/粵菜,火鍋,1590,17,4.5,11,0
樂燒遙 Enjoy Sashimi Grill & Bar,麼地道,$101-200,日本菜,壽司-刺身,996,28,3.6,10,2
蛋卷皇后 Eggroll Queen,寶勒巷,$101-200,港式/粵菜,麵包店,191,4,4.2,2,0
互動瑜伽素食 Yoga Interactive Vegetarian,山林道,$101-200,港式/粵菜,私房菜,641,5,3.8,4,0
鄭​師姐泰式素食私房菜,麼地道,$101-200,其他亞洲菜,私房菜,4346,43,3.9,27,1
源記餐廳 Yuen Kee Restaurant,加連威老道,$50以下,港式/粵菜,"自助餐,酒店餐廳",1592,165,3.4,84,17
長洲角酪 Cheung Chau Corner,廣東道,$50以下,港式/粵菜,韓式炸雞,1121,20,4.1,14,0
深仔記 Sham Tsai Kee,赫德道,$50以下,港式/粵菜,中菜館,2863,67,3.6,31,3
靚靚 不一樣的車仔麵,科學館道,$50以下,港式/粵菜,小食店,3651,144,3.5,88,10
小時候 Happy Times,科學館道,$50以下,港式/粵菜,小食店,136,17,3.9,15,1
喜茶 (K11購物藝術館) HEYTEA (K11 Art Mall),河內道,$50以下,港式/粵菜,,568,21,4,9,1
新東園 Sun Tung Yuen,海防道,$50以下,港式/粵菜,大牌檔,1147,23,4.5,18,0
阿四快餐 Uncle 4,漆咸道,$50以下,港式/粵菜,,758,53,3.5,22,2
批&撻專門店 Pie & Tart Specialists,加連威老道,$50以下,港式/粵菜,麵包店,783,53,3.7,23,3
鴻記茶檔,海防道,$50以下,港式/粵菜,大牌檔,1041,19,3.8,5,0
香港餐室 Hong Kong Cafe,亞士厘道,$50以下,港式/粵菜,"自助餐,酒店餐廳",194,6,3.6,3,0
澳門冰室 Macau Cafe,彌敦道,$50以下,港式/粵菜,"自助餐,酒店餐廳",1010,96,3.1,36,12
英皇戲院小食部,彌敦道,$50以下,西式,小食店,32,3,2.6,1,1
金鳳大餐廳 (山林道) Golden Phoenix Restaurant (Hillwood Road),山林道,$101-200,西式,扒房,5423,466,3.4,244,80
大自然素食 Gaia Veggie Shop,彌敦道,$101-200,港式/粵菜,素食,5213,190,3.6,98,18
百樂門囍宴 Joy Cuisine,棉登徑,$101-200,港式/粵菜,"點心,酒樓,山珍海味",1168,24,3.7,15,3
Kowloon Taproom,亞士厘道,$101-200,西式,酒吧,452,3,3.9,1,0
發記粉麵茶餐廳,金馬倫道,$101-200,港式/粵菜,,35,14,2.5,3,8
串 BBQ Skewers,漆咸道,$101-200,港式/粵菜,"居酒屋,串燒",222,42,4.3,40,0
會所1號 維港皇宴 ClubONE The Victoria,麼地道,$101-200,港式/粵菜,"點心,酒樓,山珍海味",2029,40,4,23,1
Soulgood Bakery,梳士巴利道,$101-200,西式,甜品-糖水,1596,17,3.9,12,1
會所1號 尖東薈 ClubONE La Plaza,麼地道,$101-200,港式/粵菜,"點心,酒樓,山珍海味",654,26,3.8,19,2
會所1號 空中花園 ClubONE Sky Garden,河內道,$101-200,港式/粵菜,中菜館,1727,22,3.6,16,2
CEO Neway,加連威老道,$101-200,港式/粵菜,卡拉ok,385,4,3.2,2,0
串燒殿,金巴利道,$51-100,其他中菜,烤肉,207,43,4.3,41,0
妹記大排檔 Mui Kee Cookfood Stall,金馬倫道,$51-100,港式/粵菜,中菜館,1873,22,3.5,8,1
香港必食,麼地道,$50以下,港式/粵菜,小食店,202,22,2.3,5,8
明苑粥粉麵飯,金巴利道,$50以下,港式/粵菜,"自助餐,酒店餐廳",93,3,4.1,0,0
百老匯戲院小賣部,彌敦道,$50以下,港式/粵菜,小食店,91,5,3.5,1,2
新聲咖啡店,北京道,$50以下,港式/粵菜,,106,3,3.4,2,0
利棧,樂道,$50以下,港式/粵菜,粥品,109,10,2.1,1,2
凱施餅店 Hoixe Cake Shop,加連威老道,$50以下,港式/粵菜,麵包店,103,12,3.5,5,1
伴糖水,柯士甸道,$50以下,港式/粵菜,甜品-糖水,43,21,4.6,21,0
瑜茶舍 yú teahouse,梳士巴利道,$51-100,港式/粵菜,甜品-糖水,1345,21,4.5,15,0
小熊港式曲奇,樂道,$51-100,港式/粵菜,西式糕點,148,7,4.5,4,0
世華餐廳 See Fah Restaurant,北京道,$51-100,港式/粵菜,"自助餐,酒店餐廳",650,71,2.6,11,17
Virgo Bar & Restaurant,金馬倫道,$51-100,港式/粵菜,"居酒屋,串燒",286,3,3.8,2,0
海 三碗麵,金巴利道,$51-100,港式/粵菜,小食店,12513,93,4.2,64,1
皇玥 Imperial Patisserie,海防道,$51-100,港式/粵菜,西式糕點,61,17,4.5,13,1
炯記燒味 Gwing Kee Roasted,樂道,$51-100,港式/粵菜,,1510,28,3.6,16,3
十八座狗仔粉,金馬倫道,$50以下,港式/粵菜,小食店,1706,61,3,12,9
7CAFE+,加拿分道,$50以下,港式/粵菜,"雪糕-乳酪,咖啡店,西式糕點",12,4,4.6,4,0
十八座狗仔粉,科學館道,$50以下,港式/粵菜,小食店,101,16,3.2,5,4
營豐海南雞專門店,麼地道,$50以下,港式/粵菜,,96,3,3.4,1,1
媽咪雞蛋仔 Mammy Pancake,科學館道,$50以下,港式/粵菜,小食店,564,71,3.9,47,2
光榮冰室 (厚福街),厚福街,$50以下,港式/粵菜,"自助餐,酒店餐廳",9784,368,3.9,240,13
香港小熊,樂道,$50以下,港式/粵菜,壽司-刺身,1821,140,4.3,133,1
樂園魚蛋粉 Lok Yuen Fishball Noodles,金馬倫道,$50以下,港式/粵菜,中菜館,1403,145,4.4,133,4
永年士多 Wing Nin Noodle,加拿分道,$50以下,港式/粵菜,小食店,12865,406,3.8,241,19
三餐冰室,漆咸道,$50以下,港式/粵菜,"自助餐,酒店餐廳",2542,185,4,148,7
常麵館 Chang Noodle House,漆咸道,$50以下,港式/粵菜,粉麵-米線,1686,69,4.2,52,0
冰室小菜館 Ice Restaurant,寶勒巷,$51-100,港式/粵菜,"自助餐,酒店餐廳",195,4,3.4,2,1
棋哥燒鵝 Ki’s Roasted Goose Restaurant,加拿分道,$51-100,港式/粵菜,燒臘,2367,260,4.1,208,10
愛上米線 (漆咸道南) Love Rice Noodle (Chatham Road South),漆咸道,$51-100,港式/粵菜,粉麵-米線,853,80,4.4,72,4
陳師傅自製點心專門店 Master Chan Dim Sum Specialist,金馬倫道,$51-100,港式/粵菜,"點心,酒樓,山珍海味",2165,30,3.6,12,3
瓊芳冰廳 King Fong Bing Teng,柯士甸道,$51-100,港式/粵菜,"自助餐,酒店餐廳",1749,31,3.3,5,3
港囍冰室,廣東道,$51-100,港式/粵菜,"自助餐,酒店餐廳",247,10,3.7,3,0
金二少冰室 Kam Yee Siu Cafe,柯士甸道,$51-100,港式/粵菜,"自助餐,酒店餐廳",218,5,4.1,3,1
Sweetbomb 22,加拿分道,$51-100,港式/粵菜,甜品-糖水,27,9,1.9,0,5
遊園 Peony Garden,柯士甸道,$51-100,港式/粵菜,小食店,8211,200,4,136,3
旺記冰室 (九龍中心大廈) Mon Kee Cafe (Kowloon Centre),亞士厘道,$51-100,港式/粵菜,"快餐店,少鹽少糖食店",11769,273,4,149,6
華嫂冰室 (棉登徑) Waso Café (Minden Avenue),棉登徑,$51-100,港式/粵菜,"自助餐,酒店餐廳",8253,111,3.7,51,10
101肉燥飯專門店 (厚福街) 101 Taiwanese (Hau Fook Street),厚福街,$51-100,其他中菜,"自助餐,酒店餐廳",5893,246,3.3,97,35
榴槤樂園 (金巴利道) Durian Land (Kimberly Road),金巴利道,$50以下,港式/粵菜,甜品-糖水,6993,77,4.1,45,2
深仔記茶餐廳 Shan Chai Kee Restaurant,亞士厘道,$50以下,港式/粵菜,"自助餐,酒店餐廳",3600,60,4,33,1
南記粉麵 Nam Kee Spring Roll Noodle Co. Ltd,漆咸道,$50以下,港式/粵菜,"快餐店,少鹽少糖食店",2303,88,3.6,42,2
蘭芳園 Lan Fong Yuen,彌敦道,$50以下,港式/粵菜,"自助餐,酒店餐廳",12510,348,3.1,89,69
豪華小食,寶勒巷,$50以下,港式/粵菜,,427,22,4.2,20,0
巧麵館,堪富利士道,$50以下,港式/粵菜,粉麵-米線,493,26,4.3,22,0
大師傅粥品 Master Congee,金馬倫道,$50以下,港式/粵菜,粥品,1043,25,3.5,9,2
阿四快餐 Ah Say Fast Food,樂道,$50以下,港式/粵菜,"快餐店,少鹽少糖食店",706,67,3.2,25,6
醉香小食雞蛋仔,加拿分道,$50以下,港式/粵菜,小食店,632,3,4.1,2,0
蓮姐小食,厚福街,$50以下,港式/粵菜,小食店,222,13,3,5,2
辣椒仔雲南米線 Chili Yunnan Mixian,麼地道,$50以下,其他中菜,粉麵-米線,401,12,3.3,5,2
元朗冰室 Yuen Long Bistro,金馬倫道,$51-100,港式/粵菜,"自助餐,酒店餐廳",1688,102,3.7,45,5
紅茶冰室 Red Tea,加拿分道,$51-100,港式/粵菜,"自助餐,酒店餐廳",1232,61,3.6,23,4
和味 Wow Taste,海防道,$51-100,其他亞洲菜,小食店,415,42,4,39,2
澳門茶餐廳 Macau Restaurant,樂道,$51-100,港式/粵菜,"自助餐,酒店餐廳",1154,73,2.9,17,17
讚記廚房 A Plus Kitchen,寶勒巷,$51-100,港式/粵菜,"自助餐,酒店餐廳",927,67,3.1,21,7
九龍餐室 Kowloon Restaurant,樂道,$51-100,港式/粵菜,"自助餐,酒店餐廳",659,32,3,4,4
富華冰室 (港晶中心) Fu Wah Cafe (Harbour Crystal Centre),加連威老道,$51-100,港式/粵菜,"自助餐,酒店餐廳",559,47,2.8,6,10
銀龍粉麵茶餐廳 Ngan Lung Restaurant,加拿分道,$51-100,港式/粵菜,"快餐店,少鹽少糖食店",763,31,3.1,13,3
原味家作 Original Taste Workshop,港鐵尖東站,$51-100,港式/粵菜,小食店,174,13,2.6,3,4
輕。快翠 MaoMaoEat,柯士甸道,$51-100,港式/粵菜,"快餐店,少鹽少糖食店",172,5,3.5,1,0
伯樂軒 Brother's Kitchen,麼地道,$51-100,港式/粵菜,"自助餐,酒店餐廳",73,5,2.6,1,3
太興 Tai Hing,科學館道,$51-100,港式/粵菜,"快餐店,少鹽少糖食店",1108,41,3.2,12,5
源記餐廳 (漢口道) Yuen Kee Restaurant (Hankow Road),漢口道,$50以下,港式/粵菜,,49,3,3.6,1,0
綠冰室 Ice Restaurant,寶勒巷,$50以下,港式/粵菜,"自助餐,酒店餐廳",136,4,2.7,0,0
新良友快餐店,麼地道,$50以下,港式/粵菜,"自助餐,酒店餐廳",113,4,3.5,1,0
鯉魚門紹香園合桃果子專門店 (尖東站) Walnut Shop (Tsim Sha Tsui East MTR Station),港鐵尖東站,$50以下,港式/粵菜,"唐餅,懷舊老店",175,6,3.9,6,0
凱施餅店 Hoixe Cake Shop,漢口道,$50以下,港式/粵菜,麵包店,116,4,3.9,3,0
MX (香港西九龍站),柯士甸道,$50以下,港式/粵菜,"快餐店,少鹽少糖食店",63,3,3.3,1,0
香港仔茶餐廳,漢口道,$50以下,港式/粵菜,"自助餐,酒店餐廳",127,13,2.3,1,6
嘉寶漢堡 (和益中心) Kabo Burger (Wardley Centre),寶勒巷,$51-100,港式/粵菜,漢堡包,20237,276,4.1,206,4
百份百餐廳 (九龍酒店) Cafe 100% (The Kowloon Hotel),彌敦道,$51-100,港式/粵菜,"自助餐,酒店餐廳",2585,34,3.9,12,0
大家樂 Café de Coral,梳士巴利道,$51-100,港式/粵菜,"快餐店,少鹽少糖食店",659,95,3.2,33,7
新天地美食,金巴利道,$51-100,港式/粵菜,"自助餐,酒店餐廳",4659,58,3.3,31,5
大快活 Fairwood,柯士甸道,$51-100,港式/粵菜,"快餐店,少鹽少糖食店",1085,56,3.4,17,5
敏華冰廳 Men Wah Bing Teng,廣東道,$51-100,港式/粵菜,"自助餐,酒店餐廳",543,23,3.2,6,5
大快活 Fairwood,亞士厘道,$51-100,港式/粵菜,"快餐店,少鹽少糖食店",293,24,3.6,10,2
大快活 Fairwood,堪富利士道,$51-100,港式/粵菜,"快餐店,少鹽少糖食店",354,20,3.6,12,1
品味冰室 Taste Cafe,廣東道,$51-100,港式/粵菜,"自助餐,酒店餐廳",172,7,4.3,4,0
大家樂 Café de Coral,加拿分道,$51-100,港式/粵菜,"快餐店,少鹽少糖食店",221,15,3.5,4,0
港原味 Hong Kong Taste,山林道,$51-100,其他中菜,,157,6,4.9,2,0
大家樂 Café de Coral,港鐵九龍站,$51-100,港式/粵菜,"快餐店,少鹽少糖食店",367,6,3.1,1,1
大家樂 Café de Coral,彌敦道,$51-100,港式/粵菜,"快餐店,少鹽少糖食店",213,22,2.9,1,6
新聯威茶餐廳 Sun Lun Wai Restaurant,山林道,$51-100,港式/粵菜,"自助餐,酒店餐廳",361,19,3.5,8,0
森記粉麵家,麼地道,$51-100,港式/粵菜,粉麵-米線,388,19,3,8,2
大快活 Fairwood,科學館道,$51-100,港式/粵菜,"快餐店,少鹽少糖食店",62,6,3.3,0,0
大師兄美食車 Book Brothers Food Truck,西九文化區,$51-100,港式/粵菜,美食車,93,9,3.5,4,0
漁不老烤魚雞煲火鍋 (諾士佛臺) YBL (諾士佛臺),諾士佛臺,$101-200,其他中菜,中菜館,1407,48,4.5,44,0
聚手工火鍋 Hive Hotpot,金巴利道,$201-400,日本菜,壽司-刺身,4391,63,3.7,42,5
烏蠅館 (九龍中心大廈) The Fly Place (Kowloon Centre),亞士厘道,$51-100,其他中菜,粉麵-米線,13232,260,4.3,210,3
KK河內街 Ha Noi Pho,加連威老道,$51-100,其他亞洲菜,烏冬,266,6,3.2,1,0
泰豊廔酒家 Tai Fung Lau Peking Restaurant,山林道,$51-100,其他中菜,"串燒,適合大夥人,慶祝紀念日",14652,370,3.5,225,33
巴辣仔烤魚雞煲 (加連威老道),加連威老道,$101-200,其他中菜,火鍋,6459,183,4.3,156,3
熺會館 Cheerful Gathering,山林道,$101-200,港式/粵菜,中菜館,435,65,4.8,62,0
8鍋臭臭鍋 (金巴利道) 8Pots HK (Kimberley Road),金巴利道,$101-200,其他中菜,火鍋,33562,753,3.9,548,17
牛八涮涮鍋專門店 Gyuhachi Shabu Shabu & Sukiyaki Restaurant,河內道,$101-200,日本菜,火鍋,4619,72,3.4,27,14
温野菜 On-Yasai,廣東道,$101-200,日本菜,"快餐店,少鹽少糖食店",14561,200,3.9,121,8
小魚兒 (金馬大廈) Little Fish (Kam Ma Building),金馬倫道,$101-200,其他中菜,"快餐店,少鹽少糖食店",25543,528,4.4,459,8
川味辣蟹·串燒·烤魚·雞煲·專門店,金巴利道,$101-200,其他中菜,"火鍋,海鮮,串燒,雞煲",3776,137,4.3,129,1
牛品台式火鍋 Beef Bang Taiwanese Hot Pot,樂道,$101-200,其他中菜,火鍋,7863,255,4.6,229,8
熊本牛鍋 (永勝商業中心),山林道,$101-200,日本菜,火鍋,4785,224,4.1,196,5
牛陣 (國際廣場) Gyujin Shabu Shabu & Sukiyaki Restaurant (iSQUARE),彌敦道,$101-200,日本菜,火鍋,6605,283,3.7,162,36
稻香 (恆星樓) Tao Heung (Star Mansion),緬甸臺,$101-200,港式/粵菜,"快餐店,少鹽少糖食店",6030,79,3.3,28,10
日牛涮涮鍋專門店 Nichigyu Shabu Shabu & Sukiyaki Restaurant,彌敦道,$101-200,日本菜,火鍋,944,9,3.9,6,0
牛駅麻辣火鍋放題 Beef Station,加連威老道,$101-200,其他中菜,火鍋,7538,275,4.5,261,1
牛大人台灣火鍋吃到飽 (加拿芬廣場) Master Beef (Carnarvon Plaza),加拿分道,$101-200,其他中菜,火鍋,52929,485,4.4,397,11
家嫂一家大小 Home Sister Family,堪富利士道,$101-200,港式/粵菜,火鍋,5508,41,4.1,20,2
圓山台灣料理 Grand Hill Taiwanese Restaurant,金巴利道,$201-400,其他中菜,"點心,酒樓,山珍海味",16823,661,4.1,579,9
北京水餃店 Beijing Dumplings Shop,柯士甸道,$50以下,其他中菜,中菜館,2956,50,3.5,21,5
住家菜 (柯士甸道) Home Feel (Austin Road),柯士甸道,$50以下,港式/粵菜,"快餐店,少鹽少糖食店",8411,168,4,123,6
